Date,Type,Description,Amount
12/2/2025,recurring,Gururaj Hebbar - Cowdung Hoovinakere (50 buttis),2500
12/9/2025,oneTime,Gopal Naik - African Night Crawler 7 kg,7500
12/2/2025,recurring,Lawrence - Ace Gadi - Gobbara loading from Hoovinkere to kodi,800
12/15/2025,oneTime,Lawrence - Ace Gadi - Bricks loading (2 times),600
12/1/2025,oneTime,Lakshman Kharvi - VC mantap work (2 workers),1800
12/3/2025,oneTime,Easy Life - Tools equipment shade net etc. (1 & 3 Dec),5020
12/2/2025,recurring,Lakshman Kharvi - Loading dung from hoovinakere (2 workers),600
12/5/2025,oneTime,Lakshman Kharvi - mantap work (half day),600
12/15/2025,oneTime,Plastic sprinkler bottle stick,370
12/18/2025,recurring,Neem Powder Pesticide (Karanth),285
2/10/2026,recurring,Neem powder (10 kgs),370
